TI-AFEXXXX,,2/16/2022,
GRE-DC_Time,GRE-DC_Value,GRE-AMB_Time,GRE-AMB_Value
1.03515625,-0.419425392,1.03515625,-0.226998711
1.044921875,-0.419106102,1.044921875,-0.227227592
1.0546875,-0.419277191,1.0546875,-0.226589584
1.064453125,-0.419432831,1.064453125,-0.227327156
1.07421875,-0.419372749,1.07421875,-0.228584862
1.083984375,-0.419257164,1.083984375,-0.229504967
1.09375,-0.419514084,1.09375,-0.230657387
1.103515625,-0.419377327,1.103515625,-0.231148911
1.11328125,-0.419405365,1.11328125,-0.232995415
1.123046875,-0.419352722,1.123046875,-0.233002853
1.1328125,-0.419203949,1.1328125,-0.235909081
1.142578125,-0.419474602,1.142578125,-0.236302757
1.15234375,-0.419479179,1.15234375,-0.236735916
1.162109375,-0.419416237,1.162109375,-0.23941555
1.171875,-0.419483185,1.171875,-0.240014076
1.181640625,-0.419390488,1.181640625,-0.241571045
1.19140625,-0.419282913,1.19140625,-0.242389297
1.201171875,-0.419393349,1.201171875,-0.243756294
1.2109375,-0.41926918,1.2109375,-0.243813515
1.220703125,-0.419494629,1.220703125,-0.244616318
1.23046875,-0.419558144,1.23046875,-0.247587776
1.240234375,-0.419602203,1.240234375,-0.247076225
1.25,-0.419522095,1.25,-0.248361397
1.259765625,-0.419553566,1.259765625,-0.250647354
1.26953125,-0.419512367,1.26953125,-0.253090096
1.279296875,-0.419532967,1.279296875,-0.255400085
1.2890625,-0.419468307,1.2890625,-0.256444359
1.298828125,-0.41981678,1.298828125,-0.257284355
1.30859375,-0.419603348,1.30859375,-0.25843792
1.318359375,-0.419512939,1.318359375,-0.25776844
1.328125,-0.419610786,1.328125,-0.258360672
1.337890625,-0.41981163,1.337890625,-0.258280563
1.34765625,-0.419512939,1.34765625,-0.256657791
1.357421875,-0.419682884,1.357421875,-0.256137657
1.3671875,-0.41966114,1.3671875,-0.254276848
1.376953125,-0.419584465,1.376953125,-0.252318764
1.38671875,-0.419363022,1.38671875,-0.249965858
1.396484375,-0.419400787,1.396484375,-0.248605728
1.40625,-0.419353867,1.40625,-0.24581337
1.416015625,-0.419562721,1.416015625,-0.242684555
1.42578125,-0.419421387,1.42578125,-0.241522408
1.435546875,-0.41942482,1.435546875,-0.238776398
1.4453125,-0.419372749,1.4453125,-0.2350811
1.455078125,-0.419272614,1.455078125,-0.232669258
1.46484375,-0.419325829,1.46484375,-0.230421638
1.474609375,-0.419334984,1.474609375,-0.227950287
1.484375,-0.419311523,1.484375,-0.223944283
1.494140625,-0.419238853,1.494140625,-0.222061729
1.50390625,-0.419260597,1.50390625,-0.218972397
1.513671875,-0.419265175,1.513671875,-0.21640377
1.5234375,-0.419183922,1.5234375,-0.211193848
1.533203125,-0.419070625,1.533203125,-0.208711052
1.54296875,-0.41907692,1.54296875,-0.20530529
1.552734375,-0.418927002,1.552734375,-0.202784729
1.5625,-0.419036865,1.5625,-0.199191856
1.572265625,-0.41918335,1.572265625,-0.194753265
1.58203125,-0.418868065,1.58203125,-0.193192291
1.591796875,-0.419130135,1.591796875,-0.190476608
1.6015625,-0.419166756,1.6015625,-0.188113976
1.611328125,-0.418874931,1.611328125,-0.183708
1.62109375,-0.418991661,1.62109375,-0.181331635
1.630859375,-0.418671227,1.630859375,-0.177885818
1.640625,-0.418776512,1.640625,-0.174826241
1.650390625,-0.418796539,1.650390625,-0.171980667
1.66015625,-0.418836021,1.66015625,-0.169111633
1.669921875,-0.418717575,1.669921875,-0.16560173
