,1/13/2021
Timestamp,cbt [mC]
1610548209,37007
1610548210,37007
1610548211,37007
1610548212,37007
1610548213,37007
1610548214,37007
1610548215,37007
1610548216,37007
1610548217,37037
1610548218,37037
1610548219,37037
1610548220,37037
1610548221,37037
1610548222,37037
1610548223,37037
1610548224,37037
1610548225,37037
1610548226,37037
1610548227,37037
1610548228,37037
1610548229,37037
1610548230,37037
1610548231,37037
1610548232,37037
1610548233,37037
1610548234,37037
1610548235,37037
1610548236,37037
1610548237,37037
1610548238,37037
1610548239,37037
1610548240,37037
1610548241,37037
1610548242,37037
1610548243,37037
1610548244,37037
1610548245,37037
1610548246,37037
1610548247,37037
1610548248,37037
1610548249,37037
1610548250,37037
1610548251,37037
1610548252,37037
1610548253,37037
1610548254,37037
1610548255,37037
1610548256,37037
1610548257,37037
1610548258,37037
1610548259,37037
1610548260,37037
1610548261,37037
1610548262,37037
1610548263,37037
1610548264,37037
1610548265,37037
1610548266,37037
1610548267,37037
1610548268,37037
1610548269,37037
1610548270,37037
1610548271,37037
1610548272,37037
1610548273,37037
1610548274,37037
1610548275,37037
1610548276,37037
1610548277,37057
1610548278,37057
1610548279,37057
1610548280,37057
1610548281,37057
1610548282,37057
1610548283,37057
1610548284,37057
1610548285,37057
1610548286,37057
1610548287,37057
1610548288,37057
1610548289,37057
1610548290,37057
1610548291,37057
1610548292,37057
1610548293,37057
1610548294,37057
1610548295,37057
1610548296,37057
1610548297,37057
1610548298,37057
1610548299,37057
1610548300,37057
1610548301,37057
1610548302,37057
1610548303,37057
1610548304,37057
1610548305,37057
1610548306,37057
1610548307,37057
1610548308,37057
1610548309,37057
1610548310,37057
1610548311,37057
1610548312,37057
1610548313,37057
1610548314,37057
1610548315,37057
1610548316,37057
1610548317,37057
1610548318,37057
1610548319,37057
1610548320,37057
1610548321,37057
1610548322,37057
1610548323,37057
1610548324,37057
1610548325,37057
1610548326,37057
1610548327,37057
1610548328,37057
1610548329,37057
1610548330,37057
1610548331,37057
1610548332,37057
1610548333,37057
1610548334,37057
1610548335,37057
1610548336,37057
1610548337,37072
1610548338,37072
1610548339,37072
1610548340,37072
1610548341,37072
1610548342,37072
1610548343,37072
1610548344,37072
1610548345,37072
1610548346,37072
1610548347,37072
1610548348,37072
1610548349,37072
1610548350,37072
1610548351,37072
1610548352,37072
1610548353,37072
1610548354,37072
1610548355,37072
1610548356,37072
1610548357,37072
1610548358,37072
1610548359,37072
1610548360,37072
1610548361,37072
1610548362,37072
1610548363,37072
1610548364,37072
1610548365,37072
1610548366,37072
1610548367,37072
1610548368,37072
1610548369,37072
1610548370,37072
1610548371,37072
1610548372,37072
1610548373,37072
1610548374,37072
1610548375,37072
1610548376,37072
1610548377,37072
1610548378,37072
1610548379,37072
1610548380,37072
1610548381,37072
1610548382,37072
1610548383,37072
1610548384,37072
1610548385,37072
1610548386,37072
1610548387,37072
1610548388,37072
1610548389,37072
1610548390,37072
1610548391,37072
1610548392,37072
1610548393,37072
1610548394,37072
1610548395,37072
1610548396,37073
1610548397,37078
1610548398,37078
1610548399,37078
1610548400,37078
1610548401,37078
1610548402,37078
1610548403,37078
1610548404,37078
1610548405,37078
1610548406,37078
1610548407,37078
1610548408,37078
1610548409,37078
1610548410,37078
1610548411,37078
1610548412,37078
1610548413,37078
1610548414,37078
1610548415,37078
1610548416,37078
1610548417,37078
1610548418,37078
1610548419,37078
1610548420,37078
1610548421,37078
1610548422,37078
1610548423,37078
1610548424,37078
1610548425,37078
1610548426,37078
1610548427,37078
1610548428,37078
1610548429,37078
1610548430,37078
1610548431,37078
1610548432,37078
1610548433,37078
1610548434,37078
1610548435,37078
1610548436,37078
1610548437,37078
1610548438,37078
1610548439,37078
1610548440,37078
1610548441,37078
1610548442,37078
1610548443,37078
1610548444,37078
1610548445,37078
1610548446,37078
1610548447,37078
1610548448,37078
1610548449,37078
1610548450,37078
1610548451,37078
1610548452,37078
1610548453,37078
1610548454,37078
1610548455,37078
1610548456,37078
1610548457,37078
1610548458,37078
1610548459,37078
1610548460,37078
1610548461,37078
1610548462,37078
1610548463,37078
1610548464,37078
1610548465,37078
1610548466,37078
1610548467,37078
1610548468,37078
1610548469,37078
1610548470,37078
1610548471,37078
1610548472,37078
1610548473,37078
1610548474,37078
1610548475,37078
1610548476,37078
1610548477,37078
1610548478,37078
1610548479,37078
1610548480,37078
1610548481,37078
1610548482,37078
1610548483,37078
1610548484,37078
1610548485,37078
1610548486,37078
1610548487,37078
1610548488,37078
1610548489,37078
1610548490,37078
1610548491,37078
1610548492,37078
1610548493,37078
1610548494,37078
1610548495,37078
1610548496,37078
1610548497,37078
1610548498,37078
1610548499,37078
1610548500,37078
1610548501,37078
1610548502,37078
1610548503,37078
1610548504,37078
1610548505,37078
1610548506,37078
1610548507,37078
1610548508,37078
1610548509,37078
1610548510,37078
1610548511,37078
1610548512,37078
1610548513,37078
1610548514,37078
1610548515,37078
1610548516,37078
1610548517,37078
1610548518,37078
1610548519,37078
1610548520,37078
1610548521,37078
1610548522,37078
1610548523,37078
1610548524,37078
1610548525,37078
1610548526,37078
1610548527,37078
1610548528,37078
1610548529,37078
1610548530,37078
1610548531,37078
1610548532,37078
1610548533,37078
1610548534,37078
1610548535,37078
1610548536,37078
1610548537,37078
1610548538,37078
1610548539,37078
1610548540,37078
1610548541,37078
1610548542,37078
1610548543,37078
1610548544,37078
1610548545,37078
1610548546,37078
1610548547,37078
1610548548,37078
1610548549,37078
1610548550,37078
1610548551,37078
1610548552,37078
1610548553,37078
1610548554,37078
1610548555,37078
1610548556,37078
1610548557,37078
1610548558,37078
1610548559,37078
1610548560,37078
1610548561,37078
1610548562,37078
1610548563,37078
1610548564,37078
1610548565,37078
